GameId,Season,Week,HomeTeamId,HomeTeam,AwayTeamId,AwayTeam,StadiumName,CoveredStadium,HomeScore,AwayScore,SpreadLine,TotalLine,SpreadResult,TotalResult,Weather,PrecipIntensity,PrecipProbability,PrecipType,Temperature,WindSpeed
2874,2020,6,14,Colts,7,Bengals,Lucas Oil Stadium,1,31,27,7.5,46,4,58,Mostly Cloudy,0.0006,0.01,rain,59.38999939,12
2875,2020,6,15,Jaguars,11,Lions,TIAA Bank Field,0,16,34,-3,52.5,-18,50,Humid and Mostly Cloudy,0.0049,0.079999998,rain,79.76999664,9
2876,2020,6,18,Vikings,2,Falcons,U.S. Bank Stadium,1,23,40,3.5,53,-17,63,Partly Cloudy,0.0005,0.02,snow,33.59000015,10
2877,2020,6,21,Giants,32,Football Team,MetLife Stadium,0,20,19,2,42.5,1,39,Partly Cloudy,0,0,NA,63.95999908,11
2878,2020,6,24,Eagles,3,Ravens,Lincoln Financial Field,0,28,30,-10.5,46.5,-2,58,Clear,0.0004,0.01,rain,64.69000244,7
2879,2020,6,25,Steelers,8,Browns,Heinz Field,0,38,7,3,50,31,45,Mostly Cloudy,0,0,NA,60.63999939,9
2880,2020,6,31,Titans,13,Texans,Nissan Stadium,0,42,36,4,52,6,78,Mostly Cloudy,0.0319,0.159999996,rain,61.54999924,6
2881,2020,11,10,Broncos,17,Dolphins,Empower Field at Mile High,0,20,13,-4,46,7,33,Foggy,0,0,NA,46.02000046,3
2882,2020,11,26,Chargers,22,Jets,SoFi Stadium,0,34,28,10,47,6,62,Clear,0.0006,0.01,rain,69.05000305,6
2883,2020,6,30,Buccaneers,12,Packers,Raymond James Stadium,0,38,10,-3,55,28,48,Partly Cloudy,0,0,NA,87.13999939,16
2884,2020,6,28,49ers,29,Rams,Levi's Stadium,0,24,16,-2,51,8,40,Clear,0,0,NA,84.22000122,7
2885,2020,6,9,Cowboys,1,Cardinals,AT&T Stadium,1,10,38,1,55.5,-28,48,Clear,0.0011,0.01,rain,64.37000275,4
2886,2020,7,24,Eagles,21,Giants,Lincoln Financial Field,0,22,21,5,44.5,1,43,Partly Cloudy,0.0057,0.039999999,rain,68.36000061,3
2887,2020,7,2,Falcons,11,Lions,Mercedes-Benz Stadium,1,22,23,1,54,-1,45,Mostly Cloudy,0,0,NA,72.44999695,2
2888,2020,8,3,Ravens,25,Steelers,M&T Bank Stadium,0,24,28,4,44,-4,52,Rain,0.071599998,0.74000001,rain,52.63999939,9
2889,2020,7,7,Bengals,8,Browns,Paul Brown Stadium,0,34,37,-4.5,50,-3,71,Mostly Cloudy,0,0,NA,49.25,6
2890,2020,7,13,Texans,12,Packers,NRG Stadium,1,20,35,-2.5,55.5,-15,55,Mostly Cloudy,0.0003,0.01,rain,72.45999908,6
2891,2020,10,17,Dolphins,26,Chargers,Hard Rock Stadium,0,29,21,1,48.5,8,50,Humid,0.0004,0.02,rain,82.45999908,6
2892,2020,7,20,Saints,5,Panthers,Mercedes-Benz Superdome,1,27,24,7,49.5,3,51,Partly Cloudy,0,0,NA,74.05999756,6
2893,2020,7,22,Jets,4,Bills,MetLife Stadium,0,10,18,-9.5,47,-8,28,Partly Cloudy,0,0,NA,51.13000107,7
2894,2020,7,32,Football Team,9,Cowboys,FedEx Field,0,25,3,-1,44.5,22,28,Overcast,0.0066,0.140000001,rain,47.04999924,6
2895,2020,7,1,Cardinals,27,Seahawks,State Farm Stadium,1,37,34,-3.5,55.5,3,71,Partly Cloudy,0,0,NA,83.55999756,11
2896,2020,7,10,Broncos,16,Chiefs,Empower Field at Mile High,0,16,43,-7,46,-27,59,Snow,0.0154,0.310000002,snow,14.77000046,9
2897,2020,7,19,Patriots,28,49ers,Gillette Stadium,0,6,33,3,44,-27,39,Overcast,0,0,NA,48.70999908,6
2898,2020,7,23,Raiders,30,Buccaneers,Allegiant Stadium,1,20,45,-3.5,51.5,-25,65,Clear,0,0,NA,76.37999725,8
2899,2020,7,29,Rams,6,Bears,SoFi Stadium,0,24,10,6.5,44,14,34,Clear,0,0,NA,73.56999969,4
2900,2020,8,5,Panthers,2,Falcons,Bank of America Stadium,0,17,25,1.5,52,-8,42,Clear,0.0032,0.140000001,rain,74.19999695,8
