"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2017,"PIT",406,6047,0.904761904761905,0.507936507936508,0.396825396825397,19,0,0
2017,"SEA",366,5286,0.866666666666667,0.555555555555556,0.311111111111111,17,4,0
2017,"SF",331,5587,0.884615384615385,0.480769230769231,0.403846153846154,22,1,0
2017,"TB",335,5816,0.830188679245283,0.490566037735849,0.339622641509434,27,3,3
2017,"TEN",334,5024,0.95,0.525,0.425,24,1,0
2017,"WAS",342,5199,0.893617021276596,0.531914893617021,0.361702127659574,23,2,0
2018,"ARI",225,3865,0.892857142857143,0.642857142857143,0.25,28,2,0
2018,"ATL",414,6226,0.84,0.64,0.2,18,2,0
2018,"BAL",389,6000,0.88135593220339,0.559322033898305,0.322033898305085,19,3,1
2018,"BUF",269,4778,0.945945945945946,0.594594594594595,0.351351351351351,30,0,0
2018,"CAR",376,5972,0.793103448275862,0.620689655172414,0.172413793103448,20,0,0
2018,"CHI",421,5502,0.892857142857143,0.660714285714286,0.232142857142857,24,6,1
2018,"CIN",368,4972,0.933333333333333,0.711111111111111,0.222222222222222,16,5,0
2018,"CLE",359,5900,0.895833333333333,0.666666666666667,0.229166666666667,23,0,0
2018,"DAL",339,5501,0.8,0.48,0.32,17,1,0
2018,"DEN",329,5602,0.840909090909091,0.568181818181818,0.272727272727273,21,2,0
2018,"DET",324,5236,0.918367346938776,0.530612244897959,0.387755102040816,19,2,0
2018,"GB",376,5905,0.914893617021277,0.617021276595745,0.297872340425532,10,1,1
2018,"HOU",402,5802,0.9,0.5,0.4,15,4,0
2018,"IND",433,6179,0.890625,0.6875,0.203125,24,0,0
2018,"JAX",245,4832,0.794117647058823,0.441176470588235,0.352941176470588,28,2,1
2018,"KC",565,6810,0.944444444444444,0.708333333333333,0.236111111111111,18,4,1
2018,"LA",527,6738,0.8875,0.575,0.3125,18,4,0
2018,"LAC",428,5962,0.905660377358491,0.641509433962264,0.264150943396226,17,2,1
2018,"MIA",319,4638,0.838709677419355,0.516129032258065,0.32258064516129,23,3,2
2018,"MIN",360,5529,0.84,0.54,0.3,20,3,0
2018,"NE",436,6295,0.912280701754386,0.596491228070175,0.315789473684211,16,2,0
2018,"NO",504,6067,0.91304347826087,0.695652173913043,0.217391304347826,16,1,0
2018,"NYG",369,5697,0.890909090909091,0.509090909090909,0.381818181818182,17,4,1
2018,"NYJ",333,4787,0.8,0.444444444444444,0.355555555555556,28,3,1
2018,"LV",290,5379,0.813953488372093,0.534883720930233,0.27906976744186,24,1,1
2018,"PHI",367,5845,0.87719298245614,0.578947368421053,0.298245614035088,22,0,0
2018,"PIT",428,6453,0.88,0.74,0.14,26,3,0
2018,"SEA",428,5653,0.909090909090909,0.654545454545455,0.254545454545455,11,2,1
2018,"SF",342,5769,0.862745098039216,0.411764705882353,0.450980392156863,30,1,0
2018,"TB",396,6648,0.816666666666667,0.6,0.216666666666667,35,1,0
2018,"TEN",310,4998,0.872340425531915,0.531914893617021,0.340425531914894,17,2,1
2018,"WAS",281,4795,0.9,0.525,0.375,19,1,0
2019,"ARI",361,5467,0.886792452830189,0.452830188679245,0.433962264150943,18,0,0
2019,"ATL",381,6075,0.85,0.516666666666667,0.333333333333333,23,3,3
2019,"BAL",531,6521,0.923076923076923,0.661538461538462,0.261538461538462,14,6,2
2019,"BUF",314,5283,0.863636363636364,0.568181818181818,0.295454545454545,19,0,1
2019,"CAR",340,5469,0.78,0.58,0.2,32,1,0
